Data	Maxima	Minima	Media
1/3/2022	2237	2128	2180
1/3/2022	2237	2131	2181
1/3/2022	2235	2128	2180
1/2/2022	2120	1892	2020
1/2/2022	2123	1901	2023
1/2/2022	2123	1892	2021
1/1/2022	1928	1797	1859
1/1/2022	1928	1797	1859
1/1/2022	1928	1797	1859
1/12/2021	1909	1481	1720
1/12/2021	1909	1481	1720
1/12/2021	1909	1481	1720
1/11/2021	1489	1073	1212
1/11/2021	1490	1072	1211
1/11/2021	1490	1072	1211
1/10/2021	1090	953	995
1/10/2021	1090	953	995
1/10/2021	1090	953	995
1/9/2021	1035	970	1003
1/9/2021	1035	970	1003
1/9/2021	1035	970	1003
1/8/2021	1220	988	1104
1/8/2021	1220	988	1104
1/8/2021	1220	988	1104
1/7/2021			
1/7/2021			
1/7/2021			
1/6/2021	1927	1610	1799
1/6/2021	1924	1610	1797
1/6/2021	1927	1610	1799
1/5/2021	2280	1922	2096
1/5/2021	2278	1924	2091
1/5/2021	2279	1923	2094
1/4/2021	2348	2288	2331
1/4/2021	2348	2284	2330
1/4/2021	2348	2286	2330
1/3/2021	2345	2290	2321
1/3/2021	2345	2290	2321
1/3/2021	2345	2290	2321
1/2/2021	2304	2020	2165
1/2/2021	2306	2024	2169
1/2/2021	2305	2022	2167
1/1/2021	2050	1666	1884
1/1/2021	2050	1670	1885
1/1/2021	2050	1668	1884
1/12/2020			
1/12/2020			
1/12/2020			
1/11/2020	1180	978	1074
1/11/2020	1180	976	1073
1/11/2020	1180	980	1076
1/10/2020	1026	946	981
1/10/2020	1026	946	982
1/10/2020	1026	946	982
1/9/2020	1220	1008	1093
1/9/2020			
1/9/2020			
1/8/2020	1310	1072	1155
1/8/2020	1310	1072	1155
1/8/2020	1308	1072	1155
1/7/2020	1561	1318	1445
1/7/2020	1562	1316	1445
1/7/2020	1562	1316	1445
1/6/2020	1748	1460	1595
1/6/2020	1742	1466	1592
1/6/2020	1745	1469	1593
1/5/2020	2048	1750	1928
1/5/2020	2048	1750	1928
1/5/2020	2048	1750	1928
1/4/2020	2260	2060	2202
1/4/2020	2260	2060	2202
1/4/2020	2260	2060	2202
1/3/2020	2306	2102	2247
1/3/2020	2306	2184	2249
1/3/2020	2306	2186	2249
1/2/2020	2277	2016	2157
1/2/2020	2277	2016	2157
1/2/2020	2277	2016	2157
1/1/2020	2119	1950	2056
1/1/2020	2119	1950	2056
1/1/2020	2119	1950	2056
1/12/2019	1947	1385	1681
1/12/2019	1947	1385	1681
1/12/2019	1947	1385	1681
1/11/2019	1488	1148	1284
1/11/2019	1488	1148	1284
