"Data","mean(Media)","mean(Minima)","mean(Maxima)"
1931-03-01,1264,1247,1283
1931-04-01,1213,1167,1273
1931-05-01,1024,865,1173
1931-06-01,707,529,845
1931-07-01,307,193,511
1931-08-01,98,0,205
1931-09-01,89,0,242
1931-10-01,211,130,402
1931-11-01,542,412,629
1931-12-01,827,619,1042
1932-01-01,1140,1070,1244
1932-02-01,1370,1260,1434
1932-03-01,1505,1439,1548
1932-04-01,1519,1468,1551
1932-05-01,1383,1299,1460
1932-06-01,1132,984,1298
1932-07-01,858,682,1032
1932-08-01,491,328,678
1932-09-01,270,204,352
1932-10-01,336,200,578
1932-11-01,738,571,964
1932-12-01,941,900,1006
1933-01-01,1081,898,1212
1933-02-01,1375,1220,1465
1933-03-01,1439,1424,1474
1933-04-01,1500,1482,1514
1933-05-01,1319,1077,1496
1933-06-01,1001,805,1133
1933-07-01,529,360,780
1933-08-01,201,98,352
1933-09-01,63,38,107
1933-10-01,236,74,288
1933-11-01,246,190,353
1933-12-01,460,189,753
1934-01-01,760,609,967
1934-02-01,1155,992,1228
1934-03-01,1302,1230,1364
1934-04-01,1364,1336,1381
1934-05-01,1170,978,1336
1934-06-01,777,628,959
1934-07-01,427,245,610
1934-08-01,155,109,244
1934-09-01,99,37,190
1934-10-01,138,86,225
1934-11-01,478,155,737
1934-12-01,757,528,960
1935-01-01,1071,954,1186
1935-02-01,1203,1182,1226
1935-03-01,1264,1190,1311
1935-04-01,1179,1057,1285
1935-05-01,835,600,1068
1935-06-01,563,490,602
1935-07-01,312,146,480
1935-08-01,188,151,237
1935-09-01,63,4,150
1935-10-01,107,5,165
1935-11-01,252,152,580
1935-12-01,610,400,887
1936-01-01,1002,862,1053
1936-02-01,1197,1089,1248
1936-03-01,1198,1120,1254
1936-04-01,1081,970,1137
1936-05-01,908,823,967
1936-06-01,835,718,897
1936-07-01,557,428,715
1936-08-01,294,199,434
1936-09-01,181,147,234
1936-10-01,164,118,191
1936-11-01,197,99,298
1936-12-01,512,308,650
1937-01-01,879,663,978
1937-02-01,1048,984,1164
1937-03-01,1245,1170,1341
1937-04-01,1218,1081,1342
1937-05-01,1010,957,1070
1937-06-01,784,690,955
1937-07-01,562,399,696
1937-08-01,264,144,388
1937-09-01,111,50,230
1937-10-01,207,90,360
1937-11-01,283,195,388
1937-12-01,351,253,476
1938-01-01,751,482,995
1938-02-01,1111,1002,1151
1938-03-01,1221,1133,1270
1938-04-01,1193,1097,1256
1938-05-01,920,790,1079
1938-06-01,526,301,779
1938-07-01,287,161,435
1938-08-01,129,43,164
1938-09-01,40,1,62
1938-10-01,103,35,293
1938-11-01,315,192,484
1938-12-01,436,146,762
1939-01-01,834,760,968
1939-02-01,1109,985,1225
1939-03-01,1271,1202,1367
1939-04-01,1381,1330,1398
1939-05-01,1176,978,1320
1939-06-01,699,514,964
1939-07-01,470,384,538
1939-08-01,346,176,509
1939-09-01,188,176,223
1939-10-01,322,177,485
1939-11-01,508,334,746
1939-12-01,817,576,1016
1940-01-01,1104,1008,1208
1940-02-01,1227,1206,1274
1940-03-01,1345,1279,1381
1940-04-01,1292,1187,1374
1940-05-01,1092,1044,1170
1940-06-01,999,926,1076
1940-07-01,672,484,894
1940-08-01,453,317,506
1940-09-01,275,221,375
1940-10-01,420,366,454
1940-11-01,561,415,694
1940-12-01,826,656,1007
1941-01-01,960,919,1014
1941-02-01,1267.5,961,1463
1941-03-01,1447,1422,1466
1941-04-01,1413,1349,1442
1941-05-01,1229,1043,1338
1941-06-01,880,676,1034
1941-07-01,579,470,760
1941-08-01,450,388,492
1941-09-01,260,212,372
1941-10-01,450,192,690
1941-11-01,701,600,855
1941-12-01,976,776,1079
1942-01-01,1063,1001,1115
1942-02-01,1287,1087,1358
1942-03-01,1344,1307,1364
1942-04-01,1360,1313,1377
1942-05-01,1222,1102,1307
1942-06-01,1035,954,1092
1942-07-01,746,542,1018
1942-08-01,470,430,543
1942-09-01,383,335,456
1942-10-01,544,441,603
